"u","ratio","dist_ident","resonance"
8,0.306719348300248,0.0266139850330853,0.912408161961441
10,0.305353470146656,0.0279798631866773,0.908125763813009
19,0.287575195310637,0.0457581380226963,0.854185427765787
39,0.351803016848862,0.0184696835155287,0.938365235213934
40,0.356496003456414,0.0231626701230807,0.923319166970648
52,0.322878167033195,0.0104551663001383,0.964629453135502
67,0.381462689489126,0.0481293561557927,0.847237449206102
69,0.292072807438672,0.0412605258946613,0.867520934001922
71,0.349969001021236,0.0166356676879027,0.94431164085698
77,0.333095754263923,0.000237579069410299,0.999182029576957
115,0.366147252032533,0.0328139186991997,0.8931304965071
126,0.380783196538687,0.0474498632053537,0.849222654918784
143,0.293514963006601,0.0398183703267323,0.871840879400174
148,0.295008287765086,0.0383250455682473,0.876336772542919
151,0.352702881442383,0.0193695481090497,0.935461324124729
168,0.373154794098809,0.0398214607654757,0.871831599097071
169,0.337646642234176,0.00431330890084269,0.985253274269793
189,0.340908695477992,0.0075753621446587,0.974245271491011
212,0.321363753871992,0.0119695794613413,0.959610885130173
217,0.297676640329883,0.0356566930034503,0.884428078491522
227,0.353472963208333,0.0201396298749997,0.932983366128578
236,0.330666082911193,0.00266725042214033,0.990855130653059
252,0.297259743092582,0.0360735902407513,0.88315900471507
260,0.31556655280292,0.0177667805304133,0.940639810049814
264,0.285944575909525,0.0473887574238083,0.849401409294746
265,0.29929906129837,0.0340342720349633,0.889384259968746
274,0.357021620962769,0.0236882876294357,0.921649092987967
296,0.373012033523992,0.0396787001906587,0.872260399097512
323,0.306703994050622,0.0266293392827113,0.912359910177027
355,0.290001897141337,0.0433314361919963,0.861354978614201
372,0.368726497050375,0.0353931637170417,0.88523122657727
377,0.283757436089218,0.0495758972441153,0.843026678831904
381,0.293301111320034,0.0400322220132993,0.87119893550085
392,0.361415214138106,0.0280818808047727,0.907806718785364
400,0.380960332695395,0.0476269993620617,0.848704686341152
415,0.369825559668243,0.0364922263349097,0.8818864701079
430,0.327578630065545,0.00575470326778832,0.980373944239637
437,0.296557679772377,0.0367756535609563,0.881025973062813
445,0.364243653835729,0.0309103205023957,0.899005685550818
463,0.301367876585573,0.0319654567477603,0.895744397536571
467,0.288448526524007,0.0448848068093263,0.856758734755363
472,0.373053157003596,0.0397198236702627,0.872136857743346
473,0.315766172949225,0.0175671603841083,0.941286780044504
491,0.350466843927279,0.0171335105939457,0.942693775142243
498,0.36898797750473,0.0356546441713967,0.884434319826876
522,0.381742167053744,0.0484088337204107,0.846422275458228
527,0.345054454868659,0.0117211215353257,0.960432448311442
532,0.383662363979965,0.0503290306466317,0.840842656059058
543,0.306104167364538,0.0272291659687953,0.91047690926809
546,0.381181887118146,0.0478485537848127,0.848057277789923
552,0.360260168090463,0.0269268347571297,0.911425513738855
559,0.312133884290233,0.0211994490431003,0.929583824648551
564,0.331211597658694,0.0021217356746393,0.992718641107564
578,0.299881529295817,0.0334518040375163,0.891170354047468
606,0.321071098325774,0.0122622350075593,0.958644077295868
641,0.315478518372402,0.0178548149609313,0.940354631289776
656,0.305977318203077,0.0273560151302563,0.910079197199559
685,0.356930256588385,0.0235969232550517,0.921939173080186
698,0.308451327960938,0.0248820053723953,0.917867438552965
707,0.348616212373599,0.0152828790402657,0.948721904810496
712,0.374811022309586,0.0414776889762527,0.86687228366138
726,0.311648443806916,0.0216848895264173,0.928030834759029
727,0.28573411796242,0.0475992153709133,0.848785909358099
742,0.359349469188601,0.0260161358552677,0.914288929535111
752,0.353001097682863,0.0196677643495297,0.93450094833006
760,0.324690723558888,0.00864260977444531,0.970670546580147
762,0.311041588429362,0.0222917449039713,0.926093070647307
775,0.357366413576528,0.0240330802431947,0.920555205128752
785,0.296104958513752,0.0372283748195813,0.879653233520202
787,0.347901967354119,0.0145686340207857,0.951058737224587
791,0.322335641132668,0.0109976922006653,0.962828583025019
806,0.321470253635198,0.0118630796981353,0.959962956385453
808,0.295304012484848,0.0380293208484853,0.877229845562369
812,0.314442559843883,0.0188907734894503,0.937005234906471
836,0.375417564529926,0.0420842311965927,0.865063154035109
837,0.325847761007026,0.00748557232630731,0.974546620426668
844,0.304222672479227,0.0291106608541063,0.904595619002351
846,0.377017361810431,0.0436840284770977,0.860309540354508
854,0.305333738215268,0.0279995951180653,0.908064046367884
856,0.381003403337672,0.0476700700043387,0.848578790078198
864,0.323859351687133,0.00947398164620034,0.967894973783389
874,0.339267703937367,0.00593437060403368,0.979767440306567
885,0.308249054709449,0.0250842786238843,0.917228183388113
890,0.374310443643481,0.0409771103101477,0.868368205871643
893,0.292696908349171,0.0406364249841623,0.869387781111009
894,0.345580484718084,0.0122471513847507,0.958693883270454
902,0.296726887114346,0.0366064462189873,0.881539592653806
903,0.345133235212415,0.0117999018790817,0.960171873231942
905,0.343082415638492,0.0097490823051587,0.966978286452332
907,0.379143877886236,0.0458105445529027,0.854031255777727
913,0.316239431500435,0.0170939018328983,0.94282239221654
917,0.377290077740327,0.0439567444069937,0.859501806300535
931,0.289688444230705,0.0436448891026283,0.860425526201245
936,0.323087220313028,0.0102461130203053,0.965324286996453
939,0.320363140664995,0.0129701926683383,0.956309316526415
949,0.347134153125808,0.0138008197924747,0.953577254869795
963,0.363982283743098,0.0306489504097647,0.899815379577805
964,0.340186884393916,0.00685355106058266,0.976670423324388
981,0.362701782956719,0.0293684496233857,0.903792772012539
998,0.355306333629414,0.0219730002960807,0.927110356502916
